# CSP Optical + NIR data for SN2004ef
# Timestamp:  2011-10-25 15:53:04
# zcmb = 0.029771	  RA = 22:42:10.08	 DEC = +19:59:40.56
#  All magnitudes in the CSP natural system.  99.9 means 'blank'
#       MJD	     u	  +/-	     B	  +/-	     V	  +/-	     g	  +/-	     r	  +/-	     i	  +/-	     Y	  +/-	     J	  +/-	     H	  +/-	     K	  +/-
53295.10402	21.122	0.065	19.941	0.018	18.842	0.010	19.549	0.011	18.325	0.008	18.403	0.011	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53298.05545	21.355	0.104	99.900	99.900	99.900	99.900	19.673	0.013	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53300.07439	21.200	0.185	20.123	0.036	19.029	0.016	19.789	0.022	18.540	0.010	18.703	0.013	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53301.05999	99.900	99.900	20.119	0.071	19.095	0.025	19.795	0.029	18.593	0.012	18.747	0.016	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53302.07517	21.465	0.423	20.231	0.080	19.082	0.027	19.784	0.034	18.604	0.013	18.845	0.015	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53303.06941	99.900	99.900	20.096	0.097	19.175	0.035	19.812	0.045	18.635	0.017	18.839	0.022	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53305.08990	99.900	99.900	99.900	99.900	19.167	0.027	19.794	0.046	18.737	0.019	18.911	0.023	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53307.12362	99.900	99.900	99.900	99.900	99.900	99.900	19.962	0.067	18.823	0.019	19.092	0.035	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53308.08351	21.392	0.366	99.900	99.900	19.262	0.028	19.922	0.039	18.838	0.016	19.110	0.025	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53309.07455	99.900	99.900	99.900	99.900	19.238	0.026	19.933	0.018	18.866	0.012	19.194	0.020	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53310.07442	21.576	0.142	20.328	0.044	19.322	0.017	19.942	0.013	18.883	0.010	19.185	0.020	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53311.07992	21.543	0.171	99.900	99.900	19.349	0.014	19.954	0.015	18.921	0.010	19.214	0.017	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53312.05273	21.623	0.170	99.900	99.900	99.900	99.900	19.982	0.014	18.968	0.012	19.212	0.028	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53321.06282	21.819	0.166	20.451	0.031	19.603	0.020	20.125	0.017	19.271	0.011	19.603	0.025	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
53328.06484	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900	19.101	0.039	99.900	99.900	19.581	0.181	99.900	99.900
53329.05300	99.900	99.900	20.622	0.090	19.744	0.036	20.287	0.047	19.535	0.022	19.869	0.037	99.900	99.900	99.900	99.900	99.900	99.900	99.900	99.900
