"name"	"SN2005jn"
"citations"	""
"claimedtype"	"Ia"
"discoverer"	"SDSS-II"
"galdec"	"-001653"
"galra"	"001900"
"host"	"A001900-0016"
"hvel"	"81200.0"
"instruments"	""
"notes"	""
"redshift"	"0.32"
"sndec"	"-001653.4"
"snra"	"001900.83"
"photometry"	"MJD"	"53681.286255"	"i"	"SDSS"	"21.543"	"0.109"	"0"
"photometry"	"MJD"	"53681.287084"	"u"	"SDSS"	"25.004"	"1.402"	"0"
"photometry"	"MJD"	"53681.287914"	"z"	"SDSS"	"21.633"	"0.480"	"0"
"photometry"	"MJD"	"53681.288743"	"g"	"SDSS"	"21.700"	"0.074"	"0"
"photometry"	"MJD"	"53685.244136"	"r"	"SDSS"	"21.364"	"0.202"	"0"
"photometry"	"MJD"	"53685.244965"	"i"	"SDSS"	"22.193"	"0.447"	"0"
"photometry"	"MJD"	"53685.245794"	"u"	"SDSS"	"22.045"	"0.720"	"0"
"photometry"	"MJD"	"53685.246624"	"z"	"SDSS"	"21.885"	"0.698"	"0"
"photometry"	"MJD"	"53685.247453"	"g"	"SDSS"	"22.072"	"0.377"	"0"
"photometry"	"MJD"	"53697.241257"	"r"	"SDSS"	"22.300"	"0.152"	"0"
"photometry"	"MJD"	"53697.242086"	"i"	"SDSS"	"21.979"	"0.146"	"0"
"photometry"	"MJD"	"53697.242915"	"u"	"SDSS"	"26.632"	"0.440"	"0"
"photometry"	"MJD"	"53697.243744"	"z"	"SDSS"	"22.435"	"0.581"	"0"
"photometry"	"MJD"	"53697.244573"	"g"	"SDSS"	"23.365"	"0.274"	"0"
"photometry"	"MJD"	"53700.239896"	"r"	"SDSS"	"22.425"	"0.197"	"0"
"photometry"	"MJD"	"53700.240725"	"i"	"SDSS"	"22.010"	"0.202"	"0"
"photometry"	"MJD"	"53700.241554"	"u"	"SDSS"	"24.431"	"1.787"	"0"
"photometry"	"MJD"	"53700.242384"	"z"	"SDSS"	"22.164"	"0.821"	"0"
"photometry"	"MJD"	"53700.243213"	"g"	"SDSS"	"23.154"	"0.267"	"0"
"photometry"	"MJD"	"53705.226325"	"r"	"SDSS"	"22.892"	"0.253"	"0"
"photometry"	"MJD"	"53705.227154"	"i"	"SDSS"	"22.211"	"0.169"	"0"
"photometry"	"MJD"	"53705.227983"	"u"	"SDSS"	"25.900"	"0.691"	"0"
"photometry"	"MJD"	"53705.228812"	"z"	"SDSS"	"21.771"	"0.392"	"0"
"photometry"	"MJD"	"53705.229641"	"g"	"SDSS"	"23.562"	"0.304"	"0"
