# sn99cl.ubvri.snphot.dat
# photometry from Jha et al. 2006, AJ 131, 527
#
#  HJD         U    +/-      B    +/-      V    +/-      R    +/-      I    +/-
2451335.69  16.071 0.184  99.999 9.999  14.354 0.035  13.702 0.046  13.346 0.049
2451338.65  15.793 0.061  15.126 0.043  14.022 0.028  13.455 0.034  13.147 0.035
2451340.65  15.777 0.064  15.066 0.046  13.933 0.030  13.387 0.036  13.147 0.042
2451342.65  15.838 0.060  15.076 0.041  13.887 0.027  13.326 0.038  13.131 0.041
2451343.69  15.904 0.060  15.091 0.037  13.878 0.022  13.323 0.028  13.175 0.031
2451346.70  99.999 9.999  99.999 9.999  13.869 0.031  99.999 9.999  99.999 9.999
2451348.68  16.405 0.066  15.395 0.043  13.946 0.027  13.471 0.032  13.340 0.035
2451350.66  16.531 0.072  15.530 0.054  14.044 0.036  13.567 0.051  13.429 0.054
2451362.72  18.588 0.087  16.846 0.040  14.709 0.026  13.934 0.032  13.394 0.036
