# sn98dm.ubvri.snphot.dat
# photometry from Jha et al. 2006, AJ 131, 527
#
#  HJD         U    +/-      B    +/-      V    +/-      R    +/-      I    +/-
2451071.82  99.999 9.999  15.398 0.023  14.843 0.006  14.743 0.010  14.832 0.011
2451077.86  16.171 0.040  16.008 0.017  15.158 0.008  15.040 0.013  14.962 0.014
2451080.88  16.545 0.046  16.321 0.021  15.328 0.009  15.094 0.015  14.909 0.014
2451104.74  18.325 0.083  17.866 0.022  16.529 0.008  16.037 0.016  15.544 0.012
2451110.80  18.363 0.062  18.027 0.021  16.736 0.011  16.251 0.019  15.816 0.017
2451136.77  19.000 0.173  18.454 0.017  17.417 0.011  17.071 0.016  16.947 0.016
2451195.64  99.999 9.999  19.317 0.023  18.749 0.014  18.759 0.021  18.831 0.094
